bank,hospital,house,school,supermarket
9.0,2.0,12.0,15.0,2.0
5.0,1.0,20.0,3.0,4.0
6.0,1.0,47.0,16.0,1.0
5.0,1.0,8.0,8.0,2.0
5.0,0.0,9.0,5.0,1.0
10.0,4.0,98.0,14.0,10.0
10.0,7.0,117.0,19.0,9.0
12.0,0.0,10.0,1.0,2.0
29.0,8.0,251.0,24.0,44.0
20.0,4.0,95.0,13.0,37.0
5.0,2.0,2.0,17.0,0.0
30.0,13.0,64.0,38.0,5.0
33.0,12.0,101.0,53.0,6.0
13.0,1.0,36.0,19.0,5.0
6.0,2.0,7.0,9.0,2.0
6.0,2.0,9.0,10.0,1.0
6.0,0.0,36.0,14.0,10.0
5.0,3.0,44.0,5.0,2.0
12.0,0.0,2.0,1.0,1.0
20.0,4.0,268.0,20.0,6.0
11.0,3.0,95.0,9.0,0.0
6.0,2.0,1.0,8.0,0.0
11.0,7.0,60.0,35.0,3.0
11.0,4.0,58.0,37.0,3.0
18.0,4.0,70.0,27.0,6.0
37.0,9.0,152.0,50.0,9.0
16.0,5.0,81.0,20.0,4.0
12.0,5.0,65.0,24.0,7.0
5.0,3.0,40.0,14.0,7.0
96.0,46.0,899.0,68.0,65.0
119.0,60.0,892.0,98.0,100.0
6.0,3.0,1.0,8.0,0.0
8.0,2.0,55.0,16.0,1.0
5.0,4.0,7.0,5.0,2.0
33.0,8.0,123.0,64.0,20.0
27.0,5.0,69.0,35.0,12.0
10.0,2.0,42.0,21.0,1.0
22.0,3.0,68.0,22.0,2.0
110.0,58.0,894.0,136.0,109.0
6.0,7.0,172.0,16.0,8.0
5.0,1.0,76.0,6.0,1.0
5.0,1.0,94.0,6.0,1.0
6.0,1.0,0.0,8.0,0.0
6.0,1.0,0.0,8.0,0.0
11.0,3.0,26.0,16.0,3.0
5.0,4.0,6.0,5.0,2.0
5.0,1.0,8.0,11.0,4.0
20.0,7.0,107.0,36.0,13.0
8.0,6.0,52.0,19.0,4.0
20.0,5.0,57.0,21.0,12.0
30.0,11.0,129.0,39.0,20.0
72.0,22.0,267.0,57.0,33.0
79.0,18.0,204.0,40.0,30.0
17.0,4.0,83.0,4.0,0.0
7.0,0.0,90.0,29.0,12.0
6.0,1.0,0.0,9.0,0.0
25.0,10.0,35.0,30.0,9.0
57.0,18.0,65.0,65.0,15.0
22.0,6.0,33.0,29.0,4.0
6.0,0.0,22.0,15.0,3.0
6.0,0.0,57.0,19.0,5.0
32.0,15.0,172.0,43.0,21.0
31.0,14.0,247.0,56.0,23.0
45.0,21.0,194.0,47.0,9.0
58.0,22.0,177.0,41.0,14.0
24.0,6.0,73.0,11.0,5.0
9.0,1.0,225.0,49.0,14.0
35.0,3.0,317.0,79.0,32.0
27.0,7.0,210.0,46.0,18.0
10.0,2.0,61.0,23.0,12.0
6.0,0.0,31.0,15.0,3.0
6.0,1.0,0.0,12.0,0.0
24.0,6.0,42.0,21.0,6.0
35.0,9.0,47.0,49.0,10.0
7.0,0.0,17.0,12.0,1.0
17.0,3.0,59.0,29.0,8.0
20.0,5.0,94.0,36.0,10.0
12.0,4.0,67.0,27.0,8.0
46.0,18.0,203.0,63.0,10.0
56.0,25.0,286.0,73.0,6.0
46.0,26.0,198.0,71.0,9.0
67.0,26.0,176.0,83.0,29.0
16.0,2.0,32.0,7.0,4.0
21.0,10.0,563.0,81.0,20.0
184.0,14.0,854.0,89.0,70.0
225.0,31.0,893.0,139.0,149.0
100.0,26.0,825.0,137.0,125.0
38.0,1.0,275.0,39.0,31.0
53.0,9.0,438.0,99.0,53.0
28.0,8.0,172.0,56.0,32.0
5.0,4.0,5.0,9.0,1.0
8.0,2.0,30.0,13.0,5.0
7.0,1.0,30.0,10.0,2.0
17.0,14.0,81.0,26.0,13.0
31.0,9.0,88.0,36.0,5.0
54.0,17.0,164.0,65.0,9.0
51.0,20.0,164.0,65.0,18.0
8.0,5.0,72.0,28.0,11.0
8.0,5.0,76.0,27.0,12.0
5.0,2.0,41.0,9.0,5.0
14.0,0.0,139.0,16.0,9.0
71.0,19.0,889.0,108.0,40.0
284.0,25.0,900.0,124.0,125.0
430.0,49.0,859.0,158.0,373.0
176.0,20.0,893.0,187.0,233.0
128.0,8.0,862.0,126.0,104.0
73.0,3.0,560.0,103.0,60.0
12.0,0.0,117.0,32.0,18.0
27.0,5.0,40.0,58.0,2.0
21.0,2.0,26.0,48.0,1.0
6.0,3.0,7.0,8.0,1.0
6.0,1.0,8.0,8.0,1.0
54.0,11.0,433.0,63.0,61.0
287.0,66.0,899.0,296.0,354.0
101.0,27.0,837.0,174.0,133.0
125.0,9.0,433.0,69.0,122.0
89.0,10.0,551.0,133.0,119.0
46.0,6.0,339.0,140.0,81.0
14.0,6.0,211.0,73.0,42.0
26.0,5.0,40.0,58.0,2.0
19.0,5.0,38.0,54.0,2.0
6.0,3.0,7.0,7.0,1.0
31.0,8.0,63.0,29.0,19.0
148.0,14.0,893.0,198.0,146.0
214.0,48.0,899.0,510.0,252.0
116.0,31.0,900.0,298.0,132.0
106.0,12.0,601.0,129.0,111.0
61.0,9.0,576.0,116.0,68.0
29.0,4.0,223.0,88.0,38.0
29.0,4.0,218.0,72.0,30.0
7.0,4.0,10.0,19.0,0.0
37.0,22.0,131.0,83.0,17.0
24.0,15.0,78.0,57.0,13.0
7.0,5.0,27.0,20.0,1.0
10.0,8.0,37.0,28.0,2.0
6.0,1.0,4.0,7.0,1.0
6.0,1.0,4.0,4.0,2.0
6.0,1.0,5.0,3.0,2.0
5.0,1.0,7.0,5.0,4.0
9.0,3.0,60.0,17.0,10.0
19.0,7.0,109.0,37.0,18.0
10.0,2.0,37.0,10.0,1.0
5.0,2.0,97.0,47.0,18.0
26.0,5.0,161.0,91.0,38.0
58.0,11.0,147.0,81.0,34.0
56.0,15.0,375.0,98.0,59.0
46.0,15.0,606.0,191.0,62.0
60.0,17.0,560.0,152.0,74.0
29.0,9.0,331.0,88.0,45.0
6.0,2.0,6.0,16.0,0.0
33.0,21.0,75.0,67.0,14.0
17.0,13.0,54.0,55.0,9.0
41.0,10.0,85.0,40.0,15.0
67.0,15.0,155.0,72.0,18.0
16.0,9.0,55.0,27.0,7.0
6.0,2.0,1.0,2.0,1.0
5.0,2.0,2.0,3.0,1.0
6.0,1.0,6.0,4.0,2.0
8.0,3.0,43.0,15.0,10.0
23.0,8.0,78.0,28.0,13.0
14.0,6.0,44.0,9.0,5.0
9.0,8.0,26.0,17.0,3.0
8.0,2.0,43.0,13.0,1.0
10.0,0.0,195.0,39.0,23.0
12.0,4.0,152.0,51.0,24.0
97.0,11.0,459.0,164.0,123.0
107.0,7.0,421.0,157.0,113.0
18.0,0.0,119.0,25.0,15.0
18.0,4.0,254.0,64.0,13.0
56.0,16.0,315.0,94.0,46.0
6.0,1.0,57.0,16.0,4.0
22.0,6.0,50.0,31.0,8.0
30.0,4.0,73.0,45.0,14.0
9.0,3.0,34.0,15.0,8.0
6.0,2.0,1.0,2.0,2.0
5.0,2.0,2.0,1.0,2.0
6.0,5.0,12.0,7.0,2.0
8.0,10.0,21.0,29.0,3.0
8.0,6.0,24.0,9.0,3.0
54.0,3.0,494.0,115.0,101.0
35.0,2.0,223.0,40.0,50.0
43.0,3.0,212.0,49.0,57.0
46.0,1.0,194.0,42.0,33.0
57.0,12.0,342.0,115.0,80.0
14.0,12.0,172.0,72.0,35.0
6.0,1.0,80.0,14.0,5.0
5.0,0.0,0.0,12.0,0.0
5.0,0.0,0.0,7.0,0.0
6.0,5.0,19.0,10.0,4.0
5.0,4.0,14.0,7.0,4.0
46.0,18.0,388.0,86.0,74.0
10.0,1.0,105.0,28.0,17.0
8.0,4.0,150.0,40.0,15.0
22.0,2.0,112.0,45.0,24.0
6.0,1.0,8.0,6.0,1.0
6.0,1.0,6.0,6.0,3.0
5.0,0.0,6.0,6.0,3.0
5.0,8.0,18.0,11.0,3.0
42.0,7.0,398.0,38.0,51.0
13.0,2.0,101.0,38.0,12.0
23.0,2.0,123.0,50.0,25.0
6.0,2.0,9.0,8.0,0.0
15.0,2.0,18.0,20.0,0.0
21.0,2.0,26.0,24.0,5.0
5.0,1.0,7.0,8.0,0.0
22.0,6.0,323.0,72.0,29.0
63.0,11.0,626.0,117.0,65.0
46.0,10.0,518.0,79.0,67.0
44.0,0.0,371.0,48.0,37.0
48.0,10.0,502.0,81.0,48.0
5.0,4.0,1.0,5.0,0.0
