lat,lng,bank,house
20.638,110.37700000000001,5,
20.638,110.397,5,
20.898000000000003,110.557,5,
20.898000000000003,110.57700000000001,5,
21.018,110.49700000000001,12,
21.018,110.51700000000001,11,
21.038,110.37700000000001,7,
21.038,110.397,15,
21.038,110.417,8,
21.038,110.49700000000001,11,
21.178,110.397,14,
21.178,110.417,27,
21.198,110.397,108,
21.198,110.417,154,
21.198,110.43700000000001,25,
21.218000000000004,110.397,73,
21.218000000000004,110.417,169,
21.218000000000004,110.43700000000001,69,
21.238000000000003,110.397,50,
21.238000000000003,110.417,77,
21.238000000000003,110.43700000000001,11,
21.238000000000003,110.45700000000001,31,
21.238000000000003,110.477,14,
21.258000000000003,110.35700000000001,6,
21.258000000000003,110.37700000000001,56,
21.258000000000003,110.397,34,
21.258000000000003,110.417,14,
21.258000000000003,110.43700000000001,10,
21.258000000000003,110.45700000000001,34,
21.258000000000003,110.477,27,
21.258000000000003,110.49700000000001,6,
21.258000000000003,110.51700000000001,6,
21.278000000000002,110.35700000000001,77,
21.278000000000002,110.37700000000001,150,
21.278000000000002,110.397,92,
21.278000000000002,110.417,16,
21.278000000000002,110.49700000000001,6,
21.278000000000002,110.51700000000001,6,
21.298000000000002,110.35700000000001,20,
21.298000000000002,110.37700000000001,50,
21.298000000000002,110.397,23,
21.338,110.697,5,
21.358,110.51700000000001,7,
21.358,110.537,8,
21.358,110.617,9,
21.358,110.637,9,
21.358,110.697,5,
21.398000000000003,110.43700000000001,6,
21.418000000000003,110.71700000000001,5,
21.418000000000003,110.777,28,
21.418000000000003,110.79700000000001,26,
21.438000000000002,110.71700000000001,5,
21.438000000000002,110.777,51,
21.438000000000002,110.79700000000001,50,
21.438000000000002,110.85700000000001,5,
21.458000000000002,110.777,11,
21.458000000000002,110.79700000000001,15,
21.458000000000002,110.81700000000001,9,
21.458000000000002,111.037,10,
21.478,110.537,5,
21.478,110.557,5,
21.478,111.01700000000001,5,
21.478,111.037,10,
21.498,110.397,6,
21.498,111.01700000000001,23,
21.498,111.23700000000001,5,
21.498,111.29700000000001,7,
21.518,110.397,6,
21.518,110.99700000000001,39,
21.518,111.01700000000001,65,
21.518,111.037,19,
21.518,111.117,5,
21.518,111.29700000000001,10,
21.518,111.31700000000001,9,
21.538,110.73700000000001,7,
21.538,110.99700000000001,11,
21.538,111.01700000000001,27,
21.538,111.037,13,
21.538,111.117,5,
21.558000000000003,110.99700000000001,8,
21.558000000000003,111.01700000000001,8,
21.578000000000003,110.93700000000001,5,
21.578000000000003,111.37700000000001,5,
21.578000000000003,111.397,5,
21.578000000000003,111.59700000000001,5,
21.578000000000003,111.837,12,
21.578000000000003,111.85700000000001,13,
21.598000000000003,110.697,5,
21.598000000000003,110.71700000000001,5,
21.598000000000003,110.93700000000001,5,
21.598000000000003,110.95700000000001,5,
21.598000000000003,111.59700000000001,5,
21.598000000000003,111.617,5,
21.618000000000002,110.917,5,
21.638,110.637,14,
21.638,110.917,28,
21.638,110.93700000000001,36,
21.638,110.95700000000001,8,
21.638,111.777,6,
21.658,110.617,5,
21.658,110.637,73,
21.658,110.65700000000001,55,
21.658,110.677,6,
21.658,110.897,15,
21.658,110.917,110,
21.658,110.93700000000001,186,
21.658,110.95700000000001,58,
21.658,110.99700000000001,6,
21.658,111.057,6,
21.658,111.07700000000001,6,
21.658,111.757,7,
21.658,111.777,7,
21.678,110.637,28,
21.678,110.65700000000001,19,
21.678,110.837,6,
21.678,110.85700000000001,12,
21.678,110.897,26,
21.678,110.917,97,
21.678,110.93700000000001,131,
21.678,110.95700000000001,35,
21.678,110.977,9,
21.678,110.99700000000001,8,
21.678,111.057,6,
21.678,111.07700000000001,6,
21.698,110.85700000000001,11,
21.698,110.917,16,
21.698,111.177,6,
21.698,111.197,6,
21.738000000000003,110.49700000000001,6,
21.738000000000003,110.51700000000001,6,
21.738000000000003,110.71700000000001,5,
21.738000000000003,110.73700000000001,9,
21.738000000000003,110.837,5,
21.738000000000003,110.85700000000001,5,
21.738000000000003,111.117,7,
21.738000000000003,111.617,8,
21.738000000000003,111.637,5,
21.738000000000003,112.23700000000001,7,
21.758000000000003,110.837,6,
21.758000000000003,110.85700000000001,6,
21.758000000000003,111.117,6,
21.758000000000003,111.617,28,
21.758000000000003,111.637,25,
21.758000000000003,111.897,8,
21.758000000000003,111.917,6,
21.758000000000003,112.23700000000001,7,
21.778000000000002,110.95700000000001,7,
21.778000000000002,110.977,7,
21.778000000000002,111.21700000000001,7,
21.778000000000002,111.23700000000001,8,
21.778000000000002,111.617,5,
21.798000000000002,111.037,7,
21.798000000000002,111.057,7,
21.798000000000002,111.21700000000001,6,
21.798000000000002,111.23700000000001,8,
21.798000000000002,111.71700000000001,6,
21.798000000000002,111.73700000000001,6,
21.818,110.777,6,
21.818,110.87700000000001,6,
21.818,111.057,7,
21.818,111.71700000000001,6,
21.818,111.73700000000001,6,
21.818,112.557,7,
21.818,112.57700000000001,9,
21.838,110.477,6,
21.838,110.49700000000001,6,
21.838,110.777,6,
21.838,111.95700000000001,11,
21.838,111.977,25,
21.838,111.99700000000001,13,
21.838,112.557,7,
21.838,112.57700000000001,9,
21.858,110.477,6,
21.858,110.95700000000001,6,
21.858,110.977,6,
21.858,111.897,5,
21.858,111.93700000000001,5,
21.858,111.95700000000001,61,
21.858,111.977,101,
21.858,111.99700000000001,50,
21.858,112.01700000000001,25,
21.858,112.49700000000001,6,
21.858,112.51700000000001,6,
21.878,111.177,6,
21.878,111.197,6,
21.878,111.897,5,
21.878,111.917,5,
21.878,111.93700000000001,15,
21.878,111.95700000000001,51,
21.878,111.977,88,
21.878,111.99700000000001,50,
21.878,112.01700000000001,40,
21.878,112.037,12,
21.878,112.49700000000001,6,
21.898000000000003,110.71700000000001,6,
21.898000000000003,110.837,6,
21.898000000000003,110.85700000000001,36,
21.898000000000003,110.87700000000001,7,
21.898000000000003,111.07700000000001,6,
21.898000000000003,111.177,6,
21.898000000000003,111.93700000000001,11,
21.898000000000003,111.95700000000001,9,
21.898000000000003,111.977,14,
21.898000000000003,112.01700000000001,13,
21.898000000000003,112.037,10,
21.918000000000003,110.71700000000001,6,
21.918000000000003,110.73700000000001,6,
21.918000000000003,110.837,9,
21.918000000000003,110.85700000000001,97,
21.918000000000003,110.87700000000001,69,
21.918000000000003,110.99700000000001,5,
21.918000000000003,111.07700000000001,6,
21.918000000000003,111.09700000000001,6,
21.918000000000003,112.057,5,
21.918000000000003,112.07700000000001,7,
21.938000000000002,110.557,7,
21.938000000000002,110.57700000000001,7,
21.938000000000002,110.85700000000001,28,
21.938000000000002,110.87700000000001,13,
21.938000000000002,110.99700000000001,5,
21.938000000000002,111.417,5,
21.938000000000002,111.43700000000001,5,
21.938000000000002,112.07700000000001,6,
21.938000000000002,112.09700000000001,6,
21.958000000000002,111.417,5,
21.958000000000002,111.43700000000001,5,
21.958000000000002,112.117,5,
21.958000000000002,112.137,8,
21.958000000000002,112.79700000000001,13,
21.958000000000002,112.81700000000001,13,
21.978,112.137,8,
21.978,112.79700000000001,11,
21.978,113.197,13,
21.978,113.21700000000001,14,
21.998,110.59700000000001,6,
21.998,113.21700000000001,17,
22.018,110.417,8,
22.018,110.43700000000001,8,
22.018,110.59700000000001,6,
22.018,113.197,7,
22.018,113.21700000000001,6,
22.018,113.23700000000001,7,
22.038,110.417,8,
22.038,110.43700000000001,8,
22.038,111.01700000000001,7,
22.038,111.617,7,
22.038,111.757,7,
22.038,111.777,7,
22.038,113.23700000000001,8,
22.038,113.35700000000001,18,
22.038,113.397,5,
22.058000000000003,110.79700000000001,8,
22.058000000000003,111.01700000000001,7,
22.058000000000003,111.037,5,
22.058000000000003,111.51700000000001,5,
22.058000000000003,111.617,7,
22.058000000000003,111.757,7,
22.058000000000003,111.777,7,
22.058000000000003,112.757,7,
22.058000000000003,112.777,5,
22.058000000000003,112.837,6,
22.058000000000003,112.85700000000001,6,
22.058000000000003,112.93700000000001,5,
22.058000000000003,112.95700000000001,6,
22.058000000000003,113.337,18,
22.058000000000003,113.35700000000001,24,
22.058000000000003,113.37700000000001,7,
22.058000000000003,113.397,12,
22.058000000000003,113.417,5,
