lat,lng,name
28.292471,112.979251,长沙市开福区
28.213635,112.988294,长沙市开福区
28.263556,112.992981,长沙市开福区
28.292329,112.97968,长沙市开福区
28.285042,112.982195,长沙市开福区
28.214041,112.995008,长沙市开福区
28.233089,113.040512,长沙市开福区
28.21337,112.994681,长沙市开福区
28.27232,112.988257,网船班路10号
28.350917,112.979654,长沙市开福区
28.22338,112.984766,长沙市开福区
28.305916,112.996529,长沙市开福区
28.252917,112.991761,长沙市开福区
28.236162,113.04471,长沙市开福区
28.226515,112.99115,长沙市开福区
28.247267,113.039646,长沙市开福区
28.345893,112.940503,长沙市开福区
28.253069,113.001444,长沙市开福区
28.274211,112.98743,长沙市开福区
28.285542,112.980865,长沙市开福区兴隆路52号
28.313329,112.971638,长沙市开福区
28.368571,112.974082,长沙市开福区
28.225952,112.997188,长沙市开福区
28.256227,112.986665,长沙市开福区
28.336268,112.981707,长沙市开福区
28.346624,113.001546,湖南省长沙市开福区中青路1277号附近
28.218168,112.987822,长沙市开福区
28.343617,112.93781,长沙市开福区
28.313269,112.986323,长沙市开福区
28.308351,112.968371,长沙市开福区
28.257106,113.012117,长沙市开福区
28.207952,112.98847,长沙市开福区
28.258917,113.049384,洪山路与福元中路交叉口西50米
28.241462,112.991819,长沙市开福区
28.27015,112.989777,长沙市开福区
28.258813,112.984903,湖南省长沙市开福区世纪金源购物中心富湾国际1栋
28.244869,113.05412,长沙市开福区
28.214155,112.997205,长沙市开福区
28.260219,113.001179,长沙市开福区
28.331457,112.959975,湖南省长沙市开福区华宁路6号
28.262624,112.996046,长沙市开福区
28.290112,112.976944,长沙市开福区
28.311773,112.976592,长沙市开福区
28.355344,112.982606,长沙市开福区
28.245808,113.021177,湖南省长沙市开福区四方坪世方水岸(栖凤路南)
28.267625,112.987609,长沙市开福区
28.377768,112.976138,长沙市开福区
28.213813,112.991123,长沙市开福区
28.253476,113.041985,山月路洪山翠园别墅小区85号
28.234769,112.992649,长沙市开福区
28.265958,112.982852,长沙市开福区
28.250229,113.046486,长沙市开福区
28.339903,113.014366,自明路100号
28.282289,112.985646,长沙市开福区
28.219096,113.002336,湖南省长沙市开福区东风路街道德雅路127号
28.22116,112.998158,长沙市开福区
28.252235,113.004342,长沙市开福区
28.275987,112.983219,长沙市开福区
28.238262,113.013058,长沙市开福区
28.225004,112.994343,长沙市开福区
28.312627,112.97375,长沙市开福区
28.247288,113.046406,长沙市开福区
28.224292,112.99318,长沙市开福区
28.224851,113.005627,长沙市开福区
28.238387,112.990635,长沙市开福区
28.232221,112.988247,长沙市开福区
28.253144,112.994205,长沙市开福区
28.239519,112.991979,长沙市开福区
28.262408,112.987437,湘江北路
28.234279,113.048567,长沙市开福区
28.26038,112.999775,长沙市开福区
28.243503,113.004324,长沙市开福区
28.249634,113.053213,长沙市开福区
28.265808,112.98469,长沙市开福区
28.249567,113.04827,长沙市开福区
28.313309,112.986237,长沙市开福区
28.244386,113.015232,长沙市开福区
28.251365,113.04612,长沙市开福区
28.297811,112.998972,长沙市开福区
28.273436,112.981708,长沙市开福区
28.244072,113.01454,长沙市开福区
28.274739,112.979881,长沙市开福区
28.225826,113.007599,长沙市开福区
28.343281,112.936883,长沙市开福区
28.242589,113.013248,长沙市开福区
28.266277,112.983275,长沙市开福区
28.231026,112.988384,长沙市开福区
28.231285,112.994387,长沙市开福区
28.269637,112.984191,长沙市开福区
28.250394,113.044808,长沙市开福区
28.331635,112.959734,湖南省长沙市开福区新安路6号
28.240565,113.014407,长沙市开福区
28.274252,112.982692,长沙市开福区
28.229846,112.987343,湖南省长沙市开福区湘江中路和华夏路交界处
28.027556,113.274582,长沙市浏阳市
28.165513,113.626571,长沙市浏阳市
28.149878,113.651268,其他浏阳市将军路天马大桥东侧
28.138777,113.640271,长沙市浏阳市
28.172628,113.652992,长沙市浏阳市道吾山东路81号
28.324017,113.355655,长沙市浏阳市
28.170402,113.641781,长沙市浏阳市
28.172152,113.660827,长沙市浏阳市
28.137077,113.640115,长沙市浏阳市
28.173876,113.643223,长沙市浏阳市
28.148115,113.642635,长沙市浏阳市
28.179423,113.6472,长沙市浏阳市
28.148602,113.642994,长沙市浏阳市
28.143378,113.644104,长沙市浏阳市
28.462834,114.016,湖南省长沙市浏阳市都佳大围山路东门古镇
28.215956,113.334969,长沙市浏阳市
28.166859,113.631159,长沙市浏阳市
28.151124,113.641444,长沙市浏阳市
28.218275,113.307867,长沙市浏阳市
28.163831,113.638244,长沙市浏阳市
28.17146,113.658029,长沙市浏阳市
28.167359,113.612232,长沙市浏阳市
28.173468,113.647476,长沙市浏阳市
28.17857,113.647243,长沙市浏阳市
28.222828,113.299667,长沙市浏阳市
28.177243,113.645146,长沙市浏阳市
28.168083,113.629119,长沙市浏阳市
28.154032,113.646886,淮东中路23-25号
28.140861,113.641214,长沙市浏阳市
28.15568,113.637076,长沙市浏阳市
28.165032,113.634466,长沙市浏阳市
28.163679,113.637389,长沙市浏阳市
28.208266,113.30861,长沙市浏阳市
28.062022,113.575658,长沙市浏阳市
28.22085,113.394091,长沙市浏阳市
28.1633,113.609495,长沙市浏阳市
28.168303,113.655649,长沙市浏阳市
28.167511,113.641619,长沙市浏阳市
28.225831,113.396645,长沙市浏阳市
28.16054,113.629344,长沙市浏阳市
28.223629,113.388233,长沙市浏阳市
28.325573,113.498579,长沙市浏阳市
28.167795,113.632651,长沙市浏阳市
28.148897,113.648165,长沙市浏阳市
28.14883,113.632993,长沙市浏阳市
28.146119,113.649841,长沙市浏阳市
28.157904,113.643526,长沙市浏阳市
28.219842,113.294952,长沙市浏阳市
28.211307,113.419291,长沙市浏阳市
28.170519,113.630915,长沙市浏阳市
28.159048,113.615786,长沙市浏阳市
28.156786,113.636537,长沙市浏阳市
28.171145,113.628819,长沙市浏阳市
28.160722,113.620189,长沙市浏阳市
28.157319,113.638999,长沙市浏阳市
28.157316,113.635434,长沙市浏阳市
28.158556,113.62963,长沙市浏阳市
28.152224,113.64258,长沙市浏阳市
28.161534,113.613687,长沙市浏阳市
28.146092,113.64723,长沙市浏阳市
28.144732,113.634413,长沙市浏阳市
28.1476,113.649315,长沙市浏阳市
28.175082,113.65195,长沙市浏阳市
28.146872,113.648263,长沙市浏阳市
28.170755,113.626866,湖南省长沙市浏阳市白沙西路
28.172245,113.638939,长沙市浏阳市
28.158974,113.631229,长沙市浏阳市
28.164805,113.631042,长沙市浏阳市
28.218145,113.291422,长沙市浏阳市
28.175759,113.637573,湖南省长沙市浏阳市集里街道浏阳大道碧桂园
28.153775,113.640722,长沙市浏阳市
27.995023,113.734189,长沙市浏阳市
28.32528,113.825985,长沙市浏阳市
28.142732,113.637185,长沙市浏阳市
28.168629,113.636857,长沙市浏阳市
28.150912,113.629507,长沙市浏阳市
28.156275,113.636851,长沙市浏阳市
28.148161,113.633157,长沙市浏阳市
28.14777,113.647572,长沙市浏阳市
28.164156,113.639416,长沙市浏阳市
27.99832,113.72699,长沙市浏阳市
27.941951,113.310319,长沙市浏阳市
28.154822,113.641375,长沙市浏阳市
28.164113,113.625336,长沙市浏阳市
28.169624,113.633737,长沙市浏阳市
28.143781,113.635449,长沙市浏阳市
27.998554,113.72829,长沙市浏阳市
28.14404,113.639793,长沙市浏阳市
28.222023,113.410422,长沙市浏阳市
28.157457,113.615987,长沙市浏阳市
28.163907,113.64766,长沙市浏阳市
28.163854,113.612123,长沙市浏阳市
28.154483,113.622411,长沙市浏阳市
28.143797,113.636674,长沙市浏阳市
28.158997,113.626336,长沙市浏阳市
28.295107,113.857448,长沙市浏阳市
28.154466,113.634336,长沙市浏阳市
28.171727,113.651651,长沙市浏阳市
28.153798,113.627806,长沙市浏阳市
28.133108,113.639611,长沙市浏阳市
28.155479,113.621235,长沙市浏阳市
28.17279,113.665024,长沙市浏阳市
28.164621,113.634708,湖南省长沙市浏阳市联民路君悦华府(创意·君悦城附近)
28.176156,113.643863,长沙市浏阳市
28.15846,113.654051,长沙市浏阳市
28.164159,113.652624,长沙市浏阳市
28.154165,113.633413,湖南省长沙市浏阳市北正北路43
28.160125,113.624975,长沙市浏阳市
28.161563,113.621589,长沙市浏阳市
28.151408,113.632935,长沙市浏阳市
28.167009,113.635394,长沙市浏阳市
28.132603,113.639426,长沙市浏阳市
28.162671,113.630775,长沙市浏阳市
28.222442,113.309936,长沙市浏阳市
28.2112,113.419931,湖南省长沙市浏阳市浏阳工业园安阳家园安置小区一期
28.154006,113.642198,长沙市浏阳市
28.167993,113.654826,长沙市浏阳市
28.130757,113.565745,长沙市浏阳市
28.165071,113.639878,长沙市浏阳市
28.16181,113.631092,长沙市浏阳市
28.282295,112.592309,长沙市宁乡县
28.237892,112.536927,长沙市宁乡县
28.28601,112.574875,长沙市宁乡县
28.274758,112.563997,玉谭镇花明北路与东沩西路交汇东北角
28.243917,112.564708,长沙市宁乡县
28.274039,112.54456,长沙市宁乡县
28.278463,112.563689,长沙市宁乡县
28.279863,112.558411,长沙市宁乡县
28.278639,112.569473,长沙市宁乡县
28.248265,112.559014,长沙市宁乡县
28.289126,112.65085,长沙市宁乡县
28.280637,112.574035,长沙市宁乡县
28.268605,112.535183,长沙市宁乡县
28.249363,112.54525,长沙市宁乡县
28.27355,112.560459,长沙市宁乡县
28.270246,112.575445,长沙市宁乡县
28.289072,112.570552,长沙市宁乡县
28.250326,112.550915,长沙市宁乡市金凤路50号
28.2766,112.556541,长沙市宁乡县
28.273902,112.569017,长沙市宁乡县
28.267164,112.550907,长沙市宁乡县
27.997241,112.345615,长沙市宁乡县
28.257483,112.565475,长沙市宁乡县
28.252697,112.559475,长沙市宁乡县
28.279346,112.645089,长沙市宁乡县
28.277161,112.56026,长沙市宁乡县
28.285454,112.655885,长沙市宁乡县
28.281823,112.547876,长沙市宁乡县
28.274927,112.570351,长沙市宁乡县
28.283054,112.580515,长沙市宁乡县
28.284773,112.594196,长沙市宁乡县
28.238251,112.553378,长沙市宁乡县
28.273954,112.567096,玉潭镇人民北路188号
28.28036,112.560356,长沙市宁乡县
28.279668,112.566046,长沙市宁乡县
28.275837,112.549753,长沙市宁乡县
28.246221,112.54826,长沙市宁乡县
28.263227,112.569642,长沙市宁乡县
28.242375,112.556772,长沙市宁乡县
28.233323,112.547289,宁乡宁乡市白马桥仁福村白马大道汽车南站南100米
28.25973,112.535182,长沙市宁乡县
28.266108,112.575523,长沙市宁乡县
28.278969,112.548041,长沙市宁乡县
28.285505,112.687384,长沙市宁乡县
28.280526,112.567997,长沙市宁乡县
28.274286,112.554859,长沙市宁乡县
28.2693,112.557168,长沙市宁乡县
28.261525,112.549871,长沙市宁乡县
28.244237,112.546441,长沙市宁乡县
28.235711,112.551337,长沙市宁乡县
28.277855,112.534633,长沙市宁乡县
28.27165,112.655109,长沙市宁乡县
28.278089,112.556248,长沙市宁乡县
28.278782,112.572329,长沙市宁乡县
28.27026,112.573439,长沙市宁乡市东沩东路40号
28.266248,112.549513,长沙市宁乡县
28.25503,112.548502,长沙市宁乡县
28.288606,112.564643,长沙市宁乡县
27.993786,112.341601,长沙市宁乡县
28.29031,112.567492,长沙市宁乡县
28.263428,112.559825,长沙市宁乡县
28.277197,112.569553,长沙市宁乡县
28.246095,112.573872,长沙市宁乡县
28.275831,112.677161,湖南省长沙市宁乡市泉洲路
28.261281,112.563867,长沙市宁乡县
28.251649,112.57987,长沙市宁乡县
28.28896,112.580466,长沙市宁乡县
28.27274,112.550357,长沙市宁乡县
28.257993,112.537155,长沙市宁乡县
28.25931,112.550846,长沙市宁乡县
28.287039,112.568586,长沙市宁乡县
28.285046,112.568771,长沙市宁乡县
28.287034,112.592067,长沙市宁乡县
27.996564,112.3377,长沙市宁乡县
28.260207,112.553876,长沙市宁乡县
28.26769,112.551659,长沙市宁乡县
28.282003,112.550978,长沙市宁乡县
28.274495,112.552421,长沙市宁乡县
28.268007,112.546367,长沙市宁乡县
28.250697,112.552854,长沙市宁乡县
28.246235,112.578743,长沙市宁乡县
27.99863,112.357373,长沙市宁乡县
28.313067,112.577081,长沙市宁乡县
28.26322,112.551261,长沙市宁乡县
28.272648,112.56261,长沙市宁乡县
28.247006,112.574771,长沙市宁乡县
28.289074,112.690859,长沙市宁乡县
28.258725,112.568055,长沙市宁乡市玉潭中路17-3号
28.244714,112.558025,白马桥正农社区
28.280215,112.549035,长沙市宁乡县
28.238527,112.537898,长沙市宁乡市
28.273229,112.575282,长沙市宁乡县
28.248093,112.547683,长沙市宁乡县
28.251884,112.552006,长沙市宁乡县
28.242975,112.559659,长沙市宁乡县
28.289469,112.568231,长沙市宁乡县
28.270166,112.55564,长沙市宁乡县
28.265623,112.573628,长沙市宁乡县
28.271683,112.558399,长沙市宁乡县
28.238023,112.547407,长沙市宁乡县
28.265634,112.550245,长沙市宁乡县
28.284789,112.570778,湖南省长沙市宁乡市城郊街道宁乡大道东方现代城
28.266276,112.543916,长沙市宁乡县
28.276821,112.566467,长沙市宁乡县
28.280044,112.573444,长沙市宁乡县
28.236424,112.546258,长沙市宁乡县
28.265302,112.5712,长沙市宁乡县
28.275621,112.572065,长沙市宁乡县
28.236849,112.537203,长沙市宁乡县
28.251023,112.578897,长沙市宁乡县
28.268987,112.557866,长沙市宁乡县
28.238775,112.547942,长沙市宁乡县
28.28237,112.549312,长沙市宁乡县
28.253516,112.563209,长沙市宁乡县
28.266961,112.541094,长沙市宁乡县
28.270679,112.535986,长沙市宁乡县
28.24934,112.561325,长沙市宁乡县
28.26994,112.551298,长沙市宁乡县
28.271992,112.555343,长沙市宁乡县
28.269294,112.560643,长沙市宁乡县
28.172206,112.975421,长沙市天心区
28.128242,112.981115,长沙市天心区
28.150377,112.998823,长沙市天心区
28.152513,112.990219,长沙市天心区
28.129354,112.992751,长沙市天心区
28.153882,112.985908,长沙市天心区
28.168349,112.973921,长沙市天心区
28.14501,112.988497,长沙市天心区
28.175048,112.990137,长沙市天心区
28.149268,112.997906,竹塘西路180号
28.145248,112.992659,长沙市天心区
28.154672,112.990441,长沙市天心区
28.135678,112.974742,长沙市天心区
28.128426,113.006737,长沙市天心区
28.177786,112.985925,天心区仰天湖新村1号(贺龙体育馆对面)
28.149753,112.990127,长沙市天心区
28.198422,112.979425,长沙市天心区
28.173071,112.977358,长沙市天心区
28.178478,112.989786,长沙市天心区
28.094409,113.007363,长沙市天心区
28.132163,113.001749,长沙市天心区
28.170581,112.987564,长沙市天心区
28.164659,112.977461,长沙市天心区
28.176568,112.985739,长沙市天心区
28.151611,112.985394,长沙市天心区
28.134204,112.975055,长沙市天心区
28.14869,112.99658,竹塘西路180号
28.17788,112.989394,长沙市天心区
28.142506,112.984322,长沙市天心区
28.170322,112.991746,长沙市天心区
28.160033,112.987916,长沙市天心区
28.131192,112.997199,长沙市天心区
28.140078,112.999483,长沙市天心区
28.128614,113.004753,长沙市天心区
28.151763,112.98269,长沙市天心区
28.176459,112.977036,长沙市天心区
28.150804,112.978377,长沙市天心区
28.164579,112.978972,长沙市天心区
28.10253,112.99233,长沙市天心区
28.173103,112.977713,长沙市天心区
28.189308,112.990852,长沙市天心区
28.190805,112.99078,长沙市天心区
28.149209,112.986385,长沙市天心区
28.170968,112.986462,长沙市天心区
28.130614,112.999994,长沙市天心区
28.176669,112.986707,长沙市天心区
28.134265,113.009704,天心区韶山南路120号(韶山南路与木莲冲路交接处)
28.158183,112.988595,长沙市天心区
28.176409,112.981312,湖南省长沙市天心区南湖路与书院路搭界处
28.186558,112.990861,长沙市天心区红龙庙巷21号
28.126446,113.011509,长沙市天心区
28.170039,112.990003,长沙市天心区
28.198822,112.975684,长沙市天心区
28.17756,112.983847,长沙市天心区
28.176729,112.975387,长沙市天心区
28.144837,113.002723,长沙市天心区
28.128754,112.973201,长沙市天心区
28.146315,112.988275,长沙市天心区
28.175402,112.991267,长沙市天心区
28.105008,112.97958,书香路与黑石铺路交叉口东200米
28.189475,112.986399,长沙市天心区
28.16964,112.989459,长沙市天心区
28.13308,112.998933,长沙市天心区
28.191826,112.983791,长沙市天心区
28.185773,112.990155,长沙市天心区
28.159518,112.979056,长沙市天心区
28.169605,112.992033,长沙市天心区
28.174964,112.990663,长沙市天心区
